name,category,price,stock,rating,num_reviews
Samsung Galaxy S23,Electronics,79999,120,4.5,350
Apple iPhone 14,Electronics,69999,85,4.7,520
Sony WH-1000XM5,Electronics,29999,200,4.6,410
Dell Laptop 15,Electronics,55000,50,4.2,180
Nike Running Shoes,Clothing,5499,180,4.4,230
The Alchemist,Books,299,550,4.8,870
Atomic Habits,Books,499,450,4.9,1200
LG 4K TV,Electronics,49999,60,4.3,145
Instant Pot,Home,8999,95,4.1,310
Kindle Paperwhite,Electronics,14999,140,4.6,480
Canon DSLR Camera,Electronics,42000,40,4.5,200
Python Crash Course,Books,599,600,4.7,750
OnePlus Nord,Electronics,27999,110,4.3,300
Air Purifier,Home,9999,65,4.2,125
JBL Bluetooth Speaker,Electronics,4999,250,4.4,390
